tipo_cliente,total_servicos_cliente,valor_total_gasto,dias_desde_ultimo_servico,servicos_unicos_utilizados,idade_veiculo,mes_da_oferta,servico_ofertado,aceitou,count_LICENCIAMENTO,count_TRANSFERÊNCIA,count_VISTORIA,count_REVISTORIA,count_EMISSÃO APTVE,count_EMISSÃO CRLV,count_PLACA CARRO,count_PLACA MOTO,count_PLACA REBOQUE,count_DESBLOQUEIOS,count_CONSULTA TOTAL,count_DECLARAÇÕES
Cliente Final,3,180,213,1,10,4,CONSULTA TOTAL,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,222,1,0,4,DISTRATO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,232,1,7,4,AUTORIZAÇÃO PRÉVIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,169,1,2,4,LICENCIAMENTO,1,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,3,120,147,1,8,4,PLACA CARRO,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,519,1,16,4,AUTORIZAÇÃO DE ESTAMPAGEM,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,271,1,6,4,PLACA MOTO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,287,1,20,4,INMETRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,1549,0,21,4,REVISTORIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,972,0,21,4,PLACA CARRO,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,3,120,221,1,19,4,PLACA MOTO,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,125,1,5,4,LIBERAÇÃO DO PÁTIO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,162,1,5,4,EMISSÃO CRLV,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,623,0,21,4,CADASTRO DE MOTOR,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,2076,0,24,4,DECLARAÇÕES,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1186,0,23,4,PLACA REBOQUE,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,191,1,2,4,PLACA CARRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1375,0,14,4,CONSULTA TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,116,1,15,4,PLACA REBOQUE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,198,1,1,4,CONSULTA TOTAL,0,3,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,140,56,2,19,4,DECLARAÇÕES,0,1,1,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,206,1,22,4,CADASTRO DE MOTOR,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,205,1,7,4,AUTORIZAÇÃO PRÉVIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1423,0,18,4,TRANSFERÊNCIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,115,1,24,4,CADASTRO DE MOTOR,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,585,1,3,4,LICENCIAMENTO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,606,1,1,4,PLACA MOTO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,655,1,8,4,LICENCIAMENTO,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,80,117,1,11,4,DISTRATO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1481,0,19,4,LICENCIAMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,485,1,14,4,REVISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,4,160,177,1,10,4,DESBLOQUEIOS,0,4,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,80,220,1,19,4,EMISSÃO APTVE,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,516,1,17,4,REVISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,3,180,130,2,22,4,AUTORIZAÇÃO DE ESTAMPAGEM,0,2,1,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,485,1,19,4,CADASTRO DE MOTOR,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,206,1,5,4,REVISTORIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,156,1,5,4,DISTRATO,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,488,1,18,4,REVISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,4,240,212,1,24,4,DISTRATO,0,4,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,80,591,1,13,4,EMISSÃO CRLV,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,640,1,0,4,DISTRATO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,930,0,21,4,INMETRO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,160,658,2,22,4,PLACA MOTO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,4,240,148,1,5,4,CADASTRO DE MOTOR,0,4,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,4,240,286,1,0,4,LIBERAÇÃO DO PÁTIO,0,4,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,216,1,8,4,PLACA REBOQUE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,538,1,9,4,DISTRATO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,875,0,22,4,LICENCIAMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,550,0,8,4,TRANSFERÊNCIA,1,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,544,1,7,4,LIBERAÇÃO DO PÁTIO,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,4,220,126,2,19,4,VISTORIA,0,3,1,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,212,1,23,4,EMISSÃO CRLV,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,364,0,14,4,DISTRATO,1,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,6,360,189,1,13,4,TRANSFERÊNCIA,0,6,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,160,1,22,4,PLACA REBOQUE,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1079,0,9,4,INMETRO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,236,1,17,4,PLACA REBOQUE,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,959,0,21,4,INMETRO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,481,1,19,4,PLACA MOTO,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,1652,0,5,4,AUTORIZAÇÃO PRÉVIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,486,1,13,4,CONSULTA TOTAL,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,291,1,7,4,PLACA CARRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,281,1,16,4,DESBLOQUEIOS,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,133,1,22,4,DESBLOQUEIOS,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,188,1,7,4,EMISSÃO CRLV,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1875,0,22,4,LIBERAÇÃO DO PÁTIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,282,1,10,4,LIBERAÇÃO DO PÁTIO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,191,1,2,4,PLACA CARRO,0,3,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,80,177,1,21,4,LICENCIAMENTO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,941,0,18,4,AUTORIZAÇÃO DE ESTAMPAGEM,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,499,1,22,4,PLACA MOTO,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,356,0,20,4,CADASTRO DE MOTOR,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,268,1,19,4,DISTRATO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,645,0,4,4,LICENCIAMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,154,1,14,4,DISTRATO,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,145,1,12,4,DECLARAÇÕES,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1458,0,2,4,AUTORIZAÇÃO DE ESTAMPAGEM,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,344,0,8,4,DESBLOQUEIOS,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,500,1,21,4,PLACA REBOQUE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,603,1,18,4,AUTORIZAÇÃO PRÉVIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,4,220,127,2,19,4,LICENCIAMENTO,0,3,1,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,320,0,22,4,DECLARAÇÕES,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,486,1,14,4,EMISSÃO APTVE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,280,1,16,4,INMETRO,0,3,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,545,1,19,4,INMETRO,1,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,495,1,2,4,EMISSÃO APTVE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,479,1,3,4,PLACA MOTO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,189,1,23,4,DESBLOQUEIOS,0,3,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,80,197,1,16,4,LIBERAÇÃO DO PÁTIO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,184,1,23,4,LIBERAÇÃO DO PÁTIO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,208,1,18,4,DESBLOQUEIOS,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,179,1,9,4,PLACA MOTO,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,146,1,21,4,TRANSFERÊNCIA,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,570,1,19,4,LIBERAÇÃO DO PÁTIO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1858,0,13,4,INMETRO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1304,0,2,4,EMISSÃO APTVE,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,218,1,0,4,REVISTORIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,150,1,24,4,DECLARAÇÕES,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1700,0,17,4,AUTORIZAÇÃO PRÉVIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,553,1,10,4,CONSULTA TOTAL,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,148,1,5,4,PLACA CARRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,154,1,13,4,DECLARAÇÕES,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,232,0,1,4,TRANSFERÊNCIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,629,1,24,4,PLACA REBOQUE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,602,1,20,4,LICENCIAMENTO,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,80,178,1,15,4,INMETRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,878,0,1,4,LICENCIAMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,118,1,12,4,PLACA MOTO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1424,0,6,4,DESBLOQUEIOS,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,166,1,21,4,EMISSÃO APTVE,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,192,1,0,4,PLACA REBOQUE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1996,0,9,4,DECLARAÇÕES,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,116,1,0,4,INMETRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,5,300,514,1,6,4,CADASTRO DE MOTOR,0,5,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,581,1,3,4,CONSULTA TOTAL,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,463,0,14,4,CONSULTA TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,434,0,1,4,VISTORIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,548,1,1,4,CONSULTA TOTAL,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,145,1,16,4,DISTRATO,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,100,470,1,22,4,DISTRATO,0,0,1,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,488,1,4,4,VISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,4,220,383,2,5,4,REVISTORIA,0,3,1,0,0,0,0,0,0,0,0,0,0
Cliente Final,4,280,145,2,24,4,AUTORIZAÇÃO PRÉVIA,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,152,1,24,4,LIBERAÇÃO DO PÁTIO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,161,1,14,4,LIBERAÇÃO DO PÁTIO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,151,1,15,4,DECLARAÇÕES,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,292,1,10,4,LIBERAÇÃO DO PÁTIO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,502,1,21,4,EMISSÃO APTVE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1981,0,23,4,REVISTORIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,126,1,12,4,LICENCIAMENTO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,521,1,10,4,VISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,486,1,15,4,AUTORIZAÇÃO DE ESTAMPAGEM,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1904,0,6,4,DESBLOQUEIOS,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,114,1,11,4,CONSULTA TOTAL,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,368,0,20,4,LICENCIAMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,133,1,13,4,PLACA CARRO,1,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,257,1,20,4,LICENCIAMENTO,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,140,238,2,3,4,LICENCIAMENTO,0,1,1,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,590,1,21,4,PLACA CARRO,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,589,1,24,4,DISTRATO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,531,1,19,4,AUTORIZAÇÃO DE ESTAMPAGEM,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,119,1,1,4,PLACA REBOQUE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,819,0,8,4,LICENCIAMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,619,1,19,4,EMISSÃO CRLV,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,4,280,71,2,16,4,PLACA CARRO,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,150,1,17,4,PLACA REBOQUE,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,3,120,153,1,6,4,EMISSÃO CRLV,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,160,1,1,4,DECLARAÇÕES,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,139,1,19,4,AUTORIZAÇÃO DE ESTAMPAGEM,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1164,0,24,4,EMISSÃO CRLV,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,4,240,126,1,18,4,AUTORIZAÇÃO DE ESTAMPAGEM,1,4,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,232,1,16,4,PLACA REBOQUE,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,220,1,22,4,PLACA REBOQUE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,571,1,17,4,REVISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,555,1,2,4,AUTORIZAÇÃO PRÉVIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,882,0,23,4,INMETRO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1256,0,4,4,EMISSÃO CRLV,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,946,0,5,4,CADASTRO DE MOTOR,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,3,120,286,1,5,4,DESBLOQUEIOS,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,191,1,16,4,CONSULTA TOTAL,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,158,1,19,4,VISTORIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,248,1,3,4,DESBLOQUEIOS,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,122,1,4,4,INMETRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1478,0,18,4,AUTORIZAÇÃO DE ESTAMPAGEM,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,162,1,24,4,REVISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,80,489,1,13,4,PLACA REBOQUE,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,159,1,16,4,INMETRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,236,1,10,4,TRANSFERÊNCIA,1,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,210,1,4,4,EMISSÃO APTVE,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,199,1,16,4,PLACA REBOQUE,1,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,642,1,0,4,PLACA MOTO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,198,1,5,4,AUTORIZAÇÃO PRÉVIA,0,3,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,1549,0,11,4,TRANSFERÊNCIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,483,1,19,4,EMISSÃO APTVE,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,1571,0,13,4,LIBERAÇÃO DO PÁTIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,2245,0,19,4,VISTORIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1061,0,17,4,VISTORIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,121,1,0,4,TRANSFERÊNCIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,184,1,8,4,DECLARAÇÕES,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,160,125,2,24,4,DISTRATO,1,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,248,1,3,4,PLACA REBOQUE,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,153,1,14,4,PLACA CARRO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,612,0,7,4,AUTORIZAÇÃO DE ESTAMPAGEM,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,944,0,15,4,DECLARAÇÕES,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,203,1,20,4,DESBLOQUEIOS,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,2364,0,2,4,DISTRATO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,207,1,10,4,DISTRATO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,149,1,21,4,PLACA MOTO,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,80,149,1,7,4,REVISTORIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,590,1,20,4,LIBERAÇÃO DO PÁTIO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,150,1,15,4,DECLARAÇÕES,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,132,1,1,4,DISTRATO,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1483,0,19,4,AUTORIZAÇÃO PRÉVIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,250,1,19,4,AUTORIZAÇÃO PRÉVIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,575,1,23,4,VISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,480,1,11,4,DISTRATO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,2115,0,23,4,CADASTRO DE MOTOR,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,141,1,8,4,EMISSÃO CRLV,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,400,0,17,4,REVISTORIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,127,1,14,4,INMETRO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,179,1,23,4,PLACA MOTO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,160,1,24,4,PLACA CARRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,100,358,1,10,4,REVISTORIA,0,0,1,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,661,1,3,4,VISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,242,1,0,4,VISTORIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,280,1,18,4,DECLARAÇÕES,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,734,0,9,4,LICENCIAMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,547,1,10,4,PLACA CARRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,151,1,11,4,CADASTRO DE MOTOR,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,629,1,16,4,INMETRO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,537,1,22,4,INMETRO,1,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,210,1,14,4,EMISSÃO CRLV,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,5,300,141,1,11,4,VISTORIA,0,5,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,150,1,15,4,INMETRO,0,3,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,910,0,8,4,EMISSÃO CRLV,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,3,180,229,2,22,4,INMETRO,0,2,1,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,195,1,14,4,CADASTRO DE MOTOR,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,529,1,15,4,TRANSFERÊNCIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,238,1,5,4,REVISTORIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,1938,0,5,4,PLACA CARRO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1801,0,6,4,EMISSÃO APTVE,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,522,1,13,4,PLACA REBOQUE,1,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,122,1,1,4,EMISSÃO CRLV,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,501,1,19,4,DISTRATO,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,5,200,161,1,0,4,DECLARAÇÕES,0,5,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,232,1,0,4,EMISSÃO APTVE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1092,0,17,4,EMISSÃO CRLV,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,599,1,17,4,CADASTRO DE MOTOR,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1825,0,11,4,EMISSÃO APTVE,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,127,1,2,4,PLACA CARRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,538,1,2,4,PLACA CARRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,126,1,19,4,TRANSFERÊNCIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1140,0,21,4,PLACA CARRO,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,80,198,1,3,4,CADASTRO DE MOTOR,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,206,1,5,4,PLACA CARRO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,522,1,18,4,LICENCIAMENTO,1,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,174,1,20,4,DESBLOQUEIOS,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,485,1,8,4,EMISSÃO CRLV,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,194,1,19,4,REVISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,186,1,16,4,REVISTORIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,621,1,19,4,PLACA MOTO,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,80,223,1,19,4,LIBERAÇÃO DO PÁTIO,0,2,0,0,0,0,0,0,0,0,0,0,0
